Year,Locationdesc,Response,Total_SS_Loc,latitude,longitude,Percentage_Loc,Sample_Size
2015,Guam,No,9487,13.444304,144.793731,77.69,7370
2015,Guam,Yes,9487,13.444304,144.793731,22.3,2117
2015,Hawaii,No,40747,21.304850435,-157.857749403,87.5,35662
2015,Hawaii,Yes,40747,21.304850435,-157.857749403,12.45,5085
2015,Idaho,No,33023,43.682630005,-114.363730042,87.34,28842
2015,Idaho,Yes,33023,43.682630005,-114.363730042,12.68,4181
2015,Illinois,No,30493,40.485010283,-88.997710178,86.77,26465
2015,Illinois,Yes,30493,40.485010283,-88.997710178,13.2,4028
2015,Indiana,No,34189,39.766910452,-86.149960194,84.26,28806
2015,Indiana,Yes,34189,39.766910452,-86.149960194,15.76,5383
2015,Iowa,No,35124,42.469400913,-93.816490556,85.5,30027
2015,Iowa,Yes,35124,42.469400913,-93.816490556,14.52,5097
2015,Kansas,No,128722,38.3477403,-98.200781227,84.82,109117
2015,Kansas,Yes,128722,38.3477403,-98.200781227,15.25,19605
2015,Kentucky,No,48153,37.645970271,-84.774971048,78.78,37946
2015,Kentucky,Yes,48153,37.645970271,-84.774971048,21.150000000000002,10207
2015,Louisiana,No,26040,31.312660644,-92.445680071,82.1,21376
2015,Louisiana,Yes,26040,31.312660644,-92.445680071,17.9,4664
2015,Maine,No,52001,45.254228894001,-68.985031336,85.19,44308
2015,Maine,Yes,52001,45.254228894001,-68.985031336,14.76,7693
2015,Maryland,No,69618,39.290580964,-76.609260111,88.31,61481
2015,Maryland,Yes,69618,39.290580964,-76.609260111,11.68,8137
2015,Massachusetts,No,50626,42.27687047,-72.082690675,85.95,43500
2015,Massachusetts,Yes,50626,42.27687047,-72.082690675,14.1,7126
2015,Michigan,No,50508,44.661319543001,-84.71439027,83.06,41938
2015,Michigan,Yes,50508,44.661319543001,-84.71439027,16.96,8570
2015,Minnesota,No,95502,46.355648736,-94.794200503,85.92,82066
2015,Minnesota,Yes,95502,46.355648736,-94.794200503,14.06,13436
2015,Mississippi,No,34107,32.745510099,-89.538030825,82.8,28242
